branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_520.0,520 K,config_40,0.745763,5.200551,,,,,,,,
temperature_520.0,520 K,config_41,0.802201,5.257315,,,,,,,,
temperature_520.0,520 K,config_42,0.788342,5.264261,,,,,,,,
temperature_520.0,520 K,config_43,0.768618,5.174816,,,,,,,,
temperature_520.0,520 K,config_44,0.756543,5.261208,,,,,,,,
temperature_520.0,520 K,config_45,0.784754,5.195215,,,,,,,,
temperature_520.0,520 K,config_46,0.770404,5.178537,,,,,,,,
temperature_520.0,520 K,config_47,0.776704,5.210413,,,,,,,,
temperature_520.0,520 K,config_48,0.791277,5.256976,,,,,,,,
temperature_520.0,520 K,config_49,0.741440,5.259759,,,,,,,,
temperature_520.0,520 K,config_50,0.690132,5.185712,,,,,,,,
temperature_520.0,520 K,config_51,0.782152,5.242477,,,,,,,,
temperature_520.0,520 K,config_52,0.728717,5.244048,,,,,,,,
temperature_520.0,520 K,config_53,0.734288,5.239301,,,,,,,,
temperature_520.0,520 K,config_54,0.826436,5.231215,,,,,,,,
temperature_520.0,520 K,config_55,0.765064,5.256062,,,,,,,,
temperature_520.0,520 K,config_56,0.743168,5.246047,,,,,,,,
temperature_520.0,520 K,config_57,0.748156,5.239129,,,,,,,,
temperature_520.0,520 K,config_58,0.737001,5.225507,,,,,,,,
temperature_520.0,520 K,config_59,0.810537,5.192114,,,,,,,,
temperature_520.0,520 K,config_60,0.789800,5.202447,,,,,,,,
temperature_520.0,520 K,config_61,0.847136,5.174129,,,,,,,,
temperature_520.0,520 K,config_62,0.762608,5.186215,,,,,,,,
temperature_520.0,520 K,config_63,0.776189,5.257704,,,,,,,,
temperature_520.0,520 K,config_64,0.774068,5.257318,,,,,,,,
temperature_520.0,520 K,config_65,0.628442,5.292122,,,,,,,,
temperature_520.0,520 K,config_66,0.833106,5.202713,,,,,,,,
temperature_520.0,520 K,config_67,0.771887,5.265099,,,,,,,,
temperature_520.0,520 K,config_68,0.717882,5.271657,,,,,,,,
temperature_520.0,520 K,config_69,0.696678,5.262451,,,,,,,,
temperature_520.0,520 K,config_70,0.821996,5.263898,,,,,,,,
temperature_520.0,520 K,config_71,0.797071,5.176543,,,,,,,,
temperature_520.0,520 K,config_72,0.754130,5.260501,,,,,,,,
temperature_520.0,520 K,config_73,0.768683,5.264152,,,,,,,,
temperature_520.0,520 K,config_74,0.805249,5.261840,,,,,,,,
temperature_520.0,520 K,config_75,0.723420,5.243897,,,,,,,,
temperature_520.0,520 K,config_76,0.714451,5.255225,,,,,,,,
temperature_520.0,520 K,config_77,0.781174,5.214692,,,,,,,,
temperature_520.0,520 K,config_78,0.740181,5.256816,,,,,,,,
temperature_520.0,520 K,config_79,0.775539,5.223053,,,,,,,,
temperature_520.0,520 K,config_80,0.826182,5.212851,,,,,,,,
temperature_520.0,520 K,config_81,0.728627,5.195620,,,,,,,,
temperature_520.0,520 K,config_82,0.803572,5.203710,,,,,,,,
temperature_520.0,520 K,config_83,0.730671,5.237085,,,,,,,,
temperature_520.0,520 K,config_84,0.678122,5.270869,,,,,,,,
temperature_520.0,520 K,config_85,0.700389,5.247068,,,,,,,,
temperature_520.0,520 K,config_86,0.772199,5.178744,,,,,,,,
temperature_520.0,520 K,config_87,0.708379,5.261516,,,,,,,,
temperature_520.0,520 K,config_88,0.642792,5.234061,,,,,,,,
temperature_520.0,520 K,config_89,0.719670,5.263983,,,,,,,,
temperature_520.0,520 K,config_90,0.779925,5.257016,,,,,,,,
temperature_520.0,520 K,config_91,0.770137,5.271172,,,,,,,,
temperature_520.0,520 K,config_92,0.743637,5.246273,,,,,,,,
temperature_520.0,520 K,config_93,0.725722,5.181666,,,,,,,,
temperature_520.0,520 K,config_94,0.762702,5.251351,,,,,,,,
temperature_520.0,520 K,config_95,0.760542,5.257687,,,,,,,,
temperature_520.0,520 K,config_96,0.762371,5.246106,,,,,,,,
temperature_520.0,520 K,config_97,0.773766,5.252375,,,,,,,,
temperature_520.0,520 K,config_98,0.774985,5.230012,,,,,,,,
temperature_520.0,520 K,config_99,0.762933,5.189409,,,,,,,,
